participant_id	sex	age	date_of_scan
sub-chiba750	m	39	-
sub-chibaIngenia	m	39	-
sub-douglas	m	39	-
sub-glen	m	39	-
sub-juntendo750w	m	39	-
sub-juntendoAchieva	m	39	-
sub-juntendoPrisma	m	39	-
sub-juntendoSkyra	m	39	-
sub-mghBay3	m	39	-
sub-oxford	m	39	-
sub-perform	m	39	-
sub-poly	m	39	-
sub-tokyo750w	m	39	-
sub-tokyoIngenia	m	39	-
sub-tokyoSigna1	m	39	-
sub-tokyoSigna2	m	39	-
sub-tokyoSkyra	m	39	-
sub-ucl	m	39	-
sub-unf	m	39	-
